Source	Target	Weight_Source_Target	Weight_Target_Source	Annotation
illness	condition	56	50	TBD
illness	inflammation	64	35	TBD
illness	poverty	20	42	TBD
illness	obesity	92	102	TBD
illness	dehydration	41	26	TBD
illness	change	31	16	TBD
illness	behavior	22	23	TBD
illness	isolation	10	6	TBD
illness	weakness	11	3	TBD
illness	injury	38	40	TBD
illness	stroke	10	20	TBD
illness	pneumonia	13	15	TBD
illness	distress	18	7	TBD
illness	fear	11	20	TBD
illness	arthritis	7	4	TBD
illness	medical_treatment	4	9	TBD
illness	violence	4	12	TBD
illness	failure	5	3	TBD
illness	confusion	5	2	TBD
illness	frustration	5	2	TBD
illness	loneliness	10	8	TBD
illness	trauma	5	17	TBD
illness	emotional_stress	7	5	TBD
illness	emotional_distress	3	5	TBD
illness	meningitis	3	7	TBD
illness	lack_of_exercise	24	22	TBD
illness	microbe	9	32	TBD
illness	immune_system	2	3	TBD
illness	treatment	5	3	TBD
illness	heart_trouble	3	12	TBD
illness	high_blood_pressure	5	11	TBD
illness	disruption	11	4	TBD
illness	immune_dysfunction	3	7	TBD
illness	emotional_problem	2	4	TBD
illness	tissue_damage	10	3	TBD
illness	constipation	7	2	TBD
illness	feeling	7	5	TBD
illness	drug_abuse	4	16	TBD
illness	separation	8	3	TBD
illness	exhaustion	18	30	TBD
illness	lack_of_energy	2	3	TBD
illness	insomnia	5	4	TBD
illness	bacterial_infection	4	3	TBD
illness	disorder	23	16	TBD
illness	stressor	4	3	TBD
illness	syndrome	12	5	TBD
illness	side_effect	2	3	TBD
illness	attack	2	3	TBD
illness	worry	5	8	TBD
illness	inactivity	2	5	TBD
illness	fall	2	8	TBD
illness	gene	3	10	TBD
illness	nervousness	3	6	TBD
illness	dysfunction	3	10	TBD
illness	heart_attack	2	8	TBD
illness	chronic_fatigue	2	4	TBD
problem	stroke	45	98	TBD
stroke	symptom	50	15	TBD
stroke	fall	13	3	TBD
stroke	heart_attack	12	56	TBD
stroke	seizure	16	5	TBD
stroke	dizziness	8	13	TBD
illness	stroke	10	20	TBD
death_of_brain_cell	stroke	6	3	TBD
stroke	ischemia	3	7	TBD
stroke	medical_condition	5	15	TBD
stroke	injury	4	5	TBD
serious_problem	stroke	11	4	TBD
inflammation	stroke	21	8	TBD
trauma	stroke	10	3	TBD
complication	heart_attack	57	27	TBD
pneumonia	complication	60	19	TBD
heart_failure	complication	5	15	TBD
delay	complication	16	25	TBD
pain	complication	11	39	TBD
complication	symptom	12	30	TBD
cardiac_arrest	complication	4	9	TBD
brain_damage	complication	3	7	TBD
complication	liver_failure	17	4	TBD
cerebral_palsy	complication	7	10	TBD
amputation	complication	21	60	TBD
complication	hysterectomy	4	7	TBD
paralysis	complication	10	8	TBD
seizure	complication	7	9	TBD
trauma	complication	8	6	TBD
miscarriage	complication	20	14	TBD
chronic_disease	complication	8	3	TBD
jaundice	complication	4	2	TBD
bleeding	complication	4	3	TBD
complication	loss	6	2	TBD
heart_disease	complication	39	15	TBD
kidney_disease	complication	12	9	TBD
heart	complication	3	5	TBD
complication	high_blood_sugar	3	10	TBD
complication	sickness	7	3	TBD
damage	complication	11	4	TBD
hepatitis	complication	8	13	TBD
complication	hospital_stay	2	3	TBD
congestive_heart_failure	complication	4	9	TBD
complication	diabetes_mellitus	5	14	TBD
fracture	complication	13	4	TBD
irritation	complication	11	4	TBD
age	complication	4	3	TBD
complication	dialysis	4	3	TBD
complication	change	3	10	TBD
severe_illness	complication	3	2	TBD
disease	infection	109	495	TBD
condition	infection	110	174	TBD
aid	infection	28	79	TBD
gum_disease	infection	25	21	TBD
high_fever	infection	9	23	TBD
abortion	infection	33	50	TBD
lymphedema	infection	6	23	TBD
acne	infection	21	40	TBD
lesion	infection	130	29	TBD
irritation	infection	18	34	TBD
thrombocytopenia	infection	7	14	TBD
bleeding	infection	130	33	TBD
tetanus	infection	13	14	TBD
injury	infection	83	25	TBD
syndrome	infection	9	14	TBD
surgery	infection	76	26	TBD
diabetes	infection	19	24	TBD
hepatitis	infection	11	25	TBD
malnutrition	infection	12	11	TBD
tuberculosis	infection	11	25	TBD
gingivitis	infection	13	14	TBD
obstruction	infection	25	11	TBD
immunosuppression	infection	5	11	TBD
anorexia	infection	4	8	TBD
blood	infection	4	5	TBD
ulceration	infection	3	10	TBD
blockage	infection	16	22	TBD
stress	infection	8	25	TBD
white_blood_cell	infection	2	4	TBD
outbreak	infection	8	12	TBD
strep_throat	infection	785	299	TBD
syphilis	infection	3	10	TBD
damage_to_the_immune_system	infection	2	9	TBD
blister	infection	9	23	TBD
sexually_transmitted_disease	infection	13	15	TBD
event	infection	6	4	TBD
anxiety	infection	2	3	TBD
boil	infection	2	5	TBD
skin	infection	5	3	TBD
immunity	infection	2	6	TBD
trauma	infection	28	8	TBD
nerve_damage	infection	2	7	TBD
particle	infection	6	2	TBD
viral_infection	infection	10	3	TBD
constipation	infection	2	6	TBD
hepatitis_a	infection	9	10	TBD
transmission	infection	4	3	TBD
ear	infection	3	2	TBD
bacterial_infection	infection	6	7	TBD
imbalance	infection	5	2	TBD
urination	infection	3	2	TBD
bladder_stone	infection	7	4	TBD
hepatitis_b	infection	3	6	TBD
dry_mouth	infection	15	4	TBD
urinary_tract_infection	infection	3	2	TBD
neutropenia	infection	8	6	TBD
cold	infection	3	7	TBD
diverticulitis	infection	24	5	TBD
cyst	infection	5	3	TBD
serious_injury	infection	2	4	TBD
perforation	infection	8	3	TBD
pregnancy	infection	5	3	TBD
high_blood_sugar	infection	2	5	TBD
condition	injury	127	223	TBD
problem	injury	76	151	TBD
infection	injury	25	83	TBD
loss	injury	95	165	TBD
disease	injury	89	54	TBD
depression	injury	7	17	TBD
illness	injury	38	40	TBD
weakness	injury	23	31	TBD
fracture	injury	16	64	TBD
medical_treatment	injury	9	18	TBD
trauma	injury	258	52	TBD
stress	injury	105	45	TBD
loss_of_consciousness	injury	8	19	TBD
shock	injury	12	21	TBD
surgery	injury	61	37	TBD
disorder	injury	11	38	TBD
wrongful_death	injury	6	19	TBD
heart_attack	injury	14	5	TBD
dizziness	injury	5	14	TBD
lesion	injury	2	8	TBD
soreness	injury	2	7	TBD
suspension	injury	5	3	TBD
release	injury	7	8	TBD
fatigue	injury	67	26	TBD
medical_care	injury	6	4	TBD
medical_condition	injury	7	25	TBD
epilepsy	injury	24	19	TBD
seizure	injury	31	26	TBD
diabetes	injury	7	3	TBD
stroke	injury	4	5	TBD
confusion	injury	2	4	TBD
property_damage	injury	7	5	TBD
sprain	injury	5	17	TBD
tear	injury	2	3	TBD
oxygen_deprivation	injury	8	6	TBD
muscle	injury	5	9	TBD
loss_of_sensation	injury	2	4	TBD
suicide	injury	5	4	TBD
contamination	injury	4	2	TBD
tension	injury	2	3	TBD
pressure	injury	9	8	TBD
psychological_trauma	injury	7	6	TBD
construction_accident	injury	9	2	TBD
recovery	injury	2	8	TBD
compression	injury	3	4	TBD
cut	injury	4	7	TBD
ischemia	injury	11	3	TBD
issue	injury	8	3	TBD
compensation	injury	4	3	TBD
aggression	injury	9	4	TBD
removal	injury	6	2	TBD
discharge	injury	6	3	TBD
abnormal_behavior	injury	3	4	TBD
heart_failure	symptom	21	6	TBD
heart_failure	complication	5	15	TBD
problem	heart_failure	20	9	TBD
heart_failure	arrhythmia	6	14	TBD
heart_failure	fatigue	4	3	TBD
heart_failure	atrial_fibrillation	5	19	TBD
violence	suffering	30	13	TBD
violence	fear	18	68	TBD
violence	problem	36	13	TBD
violence	illness	12	4	TBD
violence	chaos	9	3	TBD
violence	war	18	33	TBD
violence	retaliation	7	2	TBD
violence	stress	8	22	TBD
violence	peace	9	2	TBD
violence	change	4	2	TBD
violence	distress	5	7	TBD
violence	crime	10	16	TBD
violence	threat	5	7	TBD
violence	civil_war	8	12	TBD
violence	ptsd	6	7	TBD
violence	condition	3	14	TBD
violence	event	10	15	TBD
violence	disaster	3	2	TBD
violence	revenge	4	5	TBD
violence	substance_abuse	7	18	TBD
violence	issue	4	8	TBD
violence	mental_illness	7	26	TBD
violence	game	7	12	TBD
violence	occupation	5	17	TBD
lack_of_water	drought	8	7	TBD
disease	famine	5	15	TBD
poverty	famine	6	2	TBD
destruction	famine	4	3	TBD
pain	depression	258	171	TBD
pain	insomnia	43	9	TBD
pain	anxiety	99	44	TBD
pain	problem	116	277	TBD
pain	death	75	107	TBD
pain	anger	41	19	TBD
pain	stress	64	264	TBD
pain	suffering	53	12	TBD
pain	fear	43	71	TBD
pain	tension	45	152	TBD
pain	aggression	22	5	TBD
pain	symptom	63	67	TBD
pain	fatigue	41	74	TBD
pain	tear	12	13	TBD
pain	inactivity	38	10	TBD
pain	weakness	17	10	TBD
pain	behavior	18	54	TBD
pain	lameness	11	8	TBD
pain	vomiting	20	5	TBD
pain	pleasure	15	29	TBD
pain	growth	35	39	TBD
pain	lack_of_sleep	15	7	TBD
pain	stiffness	30	26	TBD
pain	sadness	12	7	TBD
pain	fever	20	10	TBD
pain	psychological_distress	9	6	TBD
pain	shock	6	11	TBD
pain	grief	10	26	TBD
pain	interference	7	9	TBD
pain	chronic_pain	6	16	TBD
pain	alcoholism	4	9	TBD
pain	muscle	44	102	TBD
pain	contraction	13	22	TBD
pain	despair	4	2	TBD
pain	complication	11	39	TBD
pain	emotional_stress	21	7	TBD
pain	joy	6	3	TBD
pain	addiction	13	36	TBD
pain	absence	3	13	TBD
pain	suicide	8	6	TBD
pain	feeling	6	20	TBD
pain	constipation	7	32	TBD
pain	deformity	12	10	TBD
pain	life	7	10	TBD
pain	isolation	4	9	TBD
pain	immobility	9	3	TBD
pain	increase	4	3	TBD
pain	restriction	4	8	TBD
pain	muscle_weakness	11	13	TBD
pain	weight_gain	4	8	TBD
pain	diagnosis	3	4	TBD
pain	serious_problem	4	8	TBD
pain	anorexia	8	4	TBD
pain	success	2	8	TBD
pain	negative_emotion	5	2	TBD
pain	stigma	4	6	TBD
pain	drug_addiction	13	7	TBD
pain	harm	4	2	TBD
pain	cruelty	3	9	TBD
pain	silence	3	6	TBD
pain	adverse_effect	2	4	TBD
pain	daily_activity	17	9	TBD
pain	collapse	2	9	TBD
pain	belief	8	10	TBD
pain	muscle_stiffness	2	9	TBD
pain	psychological_factor	6	14	TBD
pain	abuse	7	23	TBD
pain	hatred	3	10	TBD
pain	debilitating_disease	4	7	TBD
pain	relief	3	4	TBD
pain	memory	5	20	TBD
pain	hysterectomy	2	3	TBD
pain	loneliness	3	6	TBD
pain	serious_injury	3	6	TBD
pain	behaviour	2	3	TBD
pain	arousal	2	5	TBD
shock	injury	12	21	TBD
shock	symptom	17	16	TBD
pain	shock	6	11	TBD
shock	condition	25	17	TBD
severe_pain	shock	6	2	TBD
trauma	shock	6	2	TBD
hypotension	shock	7	3	TBD
shock	fear	5	2	TBD
shock	metabolic_acidosis	25	8	TBD
shock	crisis	5	3	TBD
shock	diarrhea	3	7	TBD
cardiac_arrest	complication	4	9	TBD
heart_disease	complication	39	15	TBD
depression	heart_disease	20	10	TBD
problem	heart_disease	65	35	TBD
heart_disease	symptom	23	16	TBD
disease	heart_disease	21	10	TBD
heart_disease	edema	6	2	TBD
heart_disease	blood_clot	7	8	TBD
dehydration	symptom	41	18	TBD
dehydration	nausea	66	24	TBD
dehydration	fever	24	70	TBD
dehydration	depression	9	6	TBD
dehydration	condition	18	50	TBD
dehydration	illness	26	41	TBD
